Year,Month,Day,Open,High,Low,Close,Volumn,Return
2021,5,7,1.09411,1.09759,1.09327,1.09547,116595,1.00110577
2021,5,6,1.09589,1.09718,1.09398,1.09426,119084,0.99892281
2021,5,5,1.09664,1.09889,1.09523,1.09544,106844,0.99836862
2021,5,4,1.09884,1.10102,1.09664,1.09723,116352,0.99853482
2021,5,3,1.09719,1.10172,1.09573,1.09884,104051,1.00117535
2021,4,30,1.10149,1.10216,1.09728,1.09755,110060,0.99642303
2021,4,29,1.10260,1.10418,1.10048,1.10149,112566,0.99892987
2021,4,28,1.10421,1.10748,1.10192,1.10267,121940,0.99848778
2021,4,27,1.10489,1.10623,1.10229,1.10434,110066,1.00072494
2021,4,26,1.10402,1.10703,1.10354,1.10354,106926,0.99833541
2021,4,23,1.10136,1.10575,1.10088,1.10538,111887,1.00331297
2021,4,22,1.10344,1.10467,1.10119,1.10173,116638,0.99839601
2021,4,21,1.10186,1.10426,1.10059,1.10350,108581,1.00131573
2021,4,20,1.09991,1.10472,1.09991,1.10205,115554,1.00118101
2021,4,19,1.10036,1.10292,1.09919,1.10075,112806,0.99826783
2021,4,16,1.10315,1.10478,1.10001,1.10266,110299,0.99922068
2021,4,15,1.10529,1.10625,1.10290,1.10352,115432,0.99839861
2021,4,14,1.09994,1.10597,1.09889,1.10529,110270,1.00482736
2021,4,13,1.09835,1.10127,1.09744,1.09998,112488,1.00147493
2021,4,12,1.10052,1.10148,1.09744,1.09836,107632,0.99910856
2021,4,9,1.10051,1.10184,1.09914,1.09934,121068,0.99841973
2021,4,8,1.10300,1.10407,1.10047,1.10108,109277,0.99815975
2021,4,7,1.10527,1.10645,1.10221,1.10311,117500,0.99808185
2021,4,6,1.10601,1.10871,1.10429,1.10523,117581,0.99933994
2021,4,5,1.10789,1.10934,1.10482,1.10596,83563,0.99774462
2021,4,2,1.10887,1.10960,1.10711,1.10846,70055,0.99954011
2021,4,1,1.10660,1.11175,1.10570,1.10897,121262,1.00213264
2021,3,31,1.10369,1.10897,1.10274,1.10661,116823,1.00265476
2021,3,30,1.10452,1.10685,1.10310,1.10368,116805,0.99928472
2021,3,29,1.10651,1.10774,1.10361,1.10447,117049,0.99730913
2021,3,26,1.10563,1.10943,1.10481,1.10745,116298,1.00169142
2021,3,25,1.10492,1.10738,1.10414,1.10558,129246,1.00061544
2021,3,24,1.10619,1.10761,1.10447,1.10490,125359,0.99877063
2021,3,23,1.10119,1.10794,1.10073,1.10626,79538,1.00462236
2021,3,22,1.10467,1.10631,1.10035,1.10117,121143,0.99591205
2021,3,19,1.10494,1.10780,1.10396,1.10569,121250,1.00079652
2021,3,18,1.10503,1.10839,1.10294,1.10481,139259,1.00014484
2021,3,17,1.10088,1.10606,1.10034,1.10465,120836,1.00342453
2021,3,16,1.10601,1.10760,1.09963,1.10088,122719,0.99524472
2021,3,15,1.10972,1.11092,1.10565,1.10614,131490,0.99521350
2021,3,12,1.10801,1.11146,1.10619,1.11146,134019,1.00353938
2021,3,11,1.10887,1.11003,1.10525,1.10754,132253,0.99872853
2021,3,10,1.10385,1.10908,1.10285,1.10895,137360,1.00471121
2021,3,9,1.10819,1.11182,1.10326,1.10375,145096,0.99599347
2021,3,8,1.10513,1.10998,1.10513,1.10819,142875,0.99912546
2021,3,5,1.11151,1.11248,1.10534,1.10916,149539,0.99792167
2021,3,4,1.10959,1.11511,1.10741,1.11147,143479,1.00177557
2021,3,3,1.10530,1.10978,1.10439,1.10950,137827,1.00305573
2021,3,2,1.10223,1.10630,1.10022,1.10612,147513,1.00356563
2021,3,1,1.09645,1.10301,1.09482,1.10219,151415,1.00485933
2021,2,26,1.10090,1.10242,1.09551,1.09686,165728,0.99628503
2021,2,25,1.10272,1.10971,1.10095,1.10095,148380,0.99825909
2021,2,24,1.09947,1.10556,1.09656,1.10287,145797,1.00302854
2021,2,23,1.08890,1.09972,1.08849,1.09954,121311,1.00975278
