Year,Month,Day,Open,High,Low,Close,Volumn,Return
2021,5,19,1.22212000,1.22475000,1.21594000,1.21743000,168239,0.99614610
2021,5,18,1.21512000,1.22363000,1.21464000,1.22214000,154733,1.00577721
2021,5,17,1.21444000,1.21684000,1.21256000,1.21512000,160548,1.00084013
2021,5,14,1.20781000,1.21473000,1.20705000,1.21410000,166784,1.00547417
2021,5,13,1.20672000,1.21057000,1.20509000,1.20749000,181046,1.00041425
2021,5,12,1.21466000,1.21517000,1.20647000,1.20699000,166099,0.99369366
2021,5,11,1.21277000,1.21811000,1.21226000,1.21465000,159841,1.00155843
2021,5,10,1.21614000,1.21776000,1.21267000,1.21276000,153906,0.99680270
2021,5,7,1.20646000,1.21710000,1.20524000,1.21665000,144215,1.00842948
2021,5,6,1.20026000,1.20712000,1.19927000,1.20648000,141671,1.00514871
2021,5,5,1.20097000,1.20261000,1.19857000,1.20030000,132292,0.99933394
2021,5,4,1.20617000,1.20636000,1.19986000,1.20110000,138108,0.99594524
2021,5,3,1.20298000,1.20755000,1.20126000,1.20599000,123197,1.00336120
2021,4,30,1.21187000,1.21260000,1.20160000,1.20195000,132025,0.99187978
2021,4,29,1.21217000,1.21494000,1.21016000,1.21179000,137401,0.99942268
2021,4,28,1.20886000,1.21363000,1.20557000,1.21249000,141548,1.00296135
2021,4,27,1.20849000,1.20920000,1.20562000,1.20891000,131910,1.00033099
2021,4,26,1.20912000,1.21165000,1.20607000,1.20851000,135941,0.99905758
2021,4,23,1.20141000,1.20991000,1.20110000,1.20965000,138580,1.00685023
2021,4,22,1.20339000,1.20689000,1.19930000,1.20142000,146486,0.99836296
2021,4,21,1.20347000,1.20431000,1.19979000,1.20339000,136255,0.99992522
2021,4,20,1.20351000,1.20815000,1.20218000,1.20348000,153299,0.99995846
2021,4,19,1.19711000,1.20473000,1.19419000,1.20353000,147330,1.00450702
2021,4,16,1.19647000,1.19940000,1.19498000,1.19813000,135833,1.00138741
2021,4,15,1.19786000,1.19941000,1.19555000,1.19647000,144772,0.99902308
2021,4,14,1.19475000,1.19869000,1.19446000,1.19764000,141887,1.00246926
2021,4,13,1.19094000,1.19546000,1.18776000,1.19469000,146807,1.00315720
2021,4,12,1.18890000,1.19186000,1.18706000,1.19093000,139848,1.00066379
2021,4,9,1.19135000,1.19196000,1.18668000,1.19014000,140596,0.99897596
2021,4,8,1.18655000,1.19267000,1.18602000,1.19136000,138819,1.00405377
2021,4,7,1.18737000,1.19153000,1.18603000,1.18655000,149938,0.99926732
2021,4,6,1.18113000,1.18766000,1.17948000,1.18742000,142531,1.00530839
2021,4,5,1.17537000,1.18190000,1.17373000,1.18115000,107376,1.00416578
2021,4,2,1.17751000,1.17859000,1.17484000,1.17625000,88854,0.99892995
2021,4,1,1.17295000,1.17794000,1.17124000,1.17751000,144054,1.00413590
2021,3,31,1.17159000,1.17592000,1.16978000,1.17266000,140030,1.00091329
2021,3,30,1.17634000,1.17732000,1.17068000,1.17159000,134677,0.99594512
2021,3,29,1.17803000,1.17933000,1.17548000,1.17636000,138746,0.99748162
2021,3,26,1.17678000,1.18044000,1.17652000,1.17933000,130591,1.00223506
2021,3,25,1.18114000,1.18271000,1.17613000,1.17670000,148229,0.99626622
2021,3,24,1.18478000,1.18507000,1.18073000,1.18111000,145468,0.99683507
2021,3,23,1.19325000,1.19400000,1.18416000,1.18486000,76435,0.99306033
2021,3,22,1.18684000,1.19462000,1.18672000,1.19314000,138591,1.00235227
2021,3,19,1.19121000,1.19366000,1.18733000,1.19034000,139132,0.99929482
2021,3,18,1.19789000,1.19883000,1.19059000,1.19118000,155968,0.99437358
2021,3,17,1.18999000,1.19845000,1.18856000,1.19792000,136713,1.00661317
2021,3,16,1.19267000,1.19513000,1.18819000,1.19005000,133824,0.99776978
2021,3,15,1.19536000,1.19668000,1.19106000,1.19271000,144546,0.99789162
2021,3,12,1.19848000,1.19880000,1.19093000,1.19523000,149978,0.99728823
2021,3,11,1.19276000,1.19893000,1.19153000,1.19848000,143998,1.00483772
2021,3,10,1.18988000,1.19286000,1.18683000,1.19271000,150042,1.00236154
2021,3,9,1.18458000,1.19152000,1.18349000,1.18990000,159475,1.00455889
2021,3,8,1.19149000,1.19316000,1.18429000,1.18450000,160923,0.99403328
2021,3,5,1.19642000,1.19764000,1.18927000,1.19161000,162284,0.99568839
2021,3,4,1.20615000,1.20657000,1.19611000,1.19677000,158232,0.99222319
2021,3,3,1.20896000,1.21124000,1.20420000,1.20615000,144269,0.99766744
2021,3,2,1.20479000,1.20938000,1.19913000,1.20897000,155968,1.00346948
2021,3,1,1.20682000,1.21005000,1.20271000,1.20479000,156164,0.99792925
2021,2,26,1.21697000,1.21826000,1.20611000,1.20729000,175509,0.99193171
2021,2,25,1.21622000,1.22458000,1.21552000,1.21711000,166005,1.00040276
2021,2,24,1.21486000,1.21740000,1.21088000,1.21662000,162334,1.00145697
2021,2,23,1.21540000,1.21791000,1.21349000,1.21485000,144802,0.99953925
2021,2,22,1.21114000,1.21689000,1.20906000,1.21541000,148293,1.00296249
2021,2,19,1.20882000,1.21444000,1.20816000,1.21182000,144078,1.00248176
2021,2,18,1.20391000,1.20936000,1.20348000,1.20882000,145631,1.00403668
2021,2,17,1.21041000,1.21070000,1.20227000,1.20396000,151239,0.99456441
2021,2,16,1.21268000,1.21689000,1.20944000,1.21054000,147083,0.99838351
2021,2,15,1.21231000,1.21446000,1.21145000,1.21250000,125312,1.00042905
2021,2,12,1.21274000,1.21339000,1.20811000,1.21198000,124121,0.99943101
2021,2,11,1.21171000,1.21507000,1.21129000,1.21267000,115464,1.00081705
2021,2,10,1.21165000,1.21435000,1.21079000,1.21168000,132643,1.00005777
2021,2,9,1.20474000,1.21206000,1.20436000,1.21161000,140784,1.00586946
2021,2,8,1.20347000,1.20653000,1.20191000,1.20454000,131803,1.00012454
2021,2,5,1.19603000,1.20497000,1.19517000,1.20439000,145042,1.00704873
2021,2,4,1.20348000,1.20422000,1.19571000,1.19596000,147719,0.99376797
2021,2,3,1.20424000,1.20493000,1.20036000,1.20346000,142347,0.99934399
2021,2,2,1.20570000,1.20874000,1.20109000,1.20425000,146702,0.99867314
2021,2,1,1.21280000,1.21359000,1.20549000,1.20585000,157984,0.99349125
2021,1,29,1.21186000,1.21553000,1.20938000,1.21375000,162959,1.00146868
2021,1,28,1.21093000,1.21412000,1.20800000,1.21197000,165366,1.00095804
2021,1,27,1.21588000,1.21692000,1.20581000,1.21081000,154824,0.99581380
2021,1,26,1.21362000,1.21770000,1.21073000,1.21590000,142917,1.00187868
2021,1,25,1.21630000,1.21827000,1.21156000,1.21362000,144925,0.99736200
2021,1,22,1.21592000,1.21916000,1.21509000,1.21683000,141743,1.00070725
2021,1,21,1.21055000,1.21721000,1.21012000,1.21597000,143636,1.00448560
2021,1,20,1.21277000,1.21576000,1.20763000,1.21054000,142488,0.99818593
2021,1,19,1.20741000,1.21444000,1.20727000,1.21274000,138407,1.00423974
2021,1,18,1.20765000,1.20863000,1.20530000,1.20762000,134119,0.99996688
2021,1,15,1.21516000,1.21621000,1.20742000,1.20766000,149468,0.99382797
2021,1,14,1.21546000,1.21778000,1.21106000,1.21516000,155828,0.99975318
2021,1,13,1.22056000,1.22223000,1.21394000,1.21546000,148280,0.99602560
2021,1,12,1.21506000,1.22086000,1.21365000,1.22031000,148119,1.00432904
2021,1,11,1.22112000,1.22319000,1.21317000,1.21505000,154423,0.99432888
2021,1,8,1.22703000,1.22837000,1.21925000,1.22198000,161980,0.99587626
2021,1,7,1.23245000,1.23438000,1.22444000,1.22704000,155347,0.99568308
2021,1,6,1.22973000,1.23486000,1.22653000,1.23236000,174025,1.00217943
2021,1,5,1.22477000,1.23051000,1.22412000,1.22968000,159166,1.00405810
2021,1,4,1.22361000,1.23089000,1.22262000,1.22471000,168763,1.00175041
2020,12,31,1.22950000,1.23087000,1.22204000,1.22257000,124913,0.99433121
2020,12,30,1.22467000,1.23093000,1.22435000,1.22954000,150933,1.00397658
2020,12,29,1.22148000,1.22745000,1.22039000,1.22467000,147253,1.00257875
2020,12,28,1.21926000,1.22512000,1.21717000,1.22152000,144464,1.00261011
2020,12,24,1.21843000,1.22151000,1.21768000,1.21834000,111065,1.00013134
2020,12,23,1.21599000,1.22205000,1.21534000,1.21818000,153708,1.00184220
2020,12,22,1.22446000,1.22562000,1.21516000,1.21594000,156353,0.99292830
2020,12,21,1.22182000,1.22522000,1.21291000,1.22460000,165675,0.99949397
2020,12,18,1.22669000,1.22704000,1.22249000,1.22522000,137201,0.99885865
2020,12,17,1.21981000,1.22722000,1.21894000,1.22662000,141053,1.00557459
2020,12,16,1.21471000,1.22116000,1.21249000,1.21982000,105599,1.00395055
2020,12,15,1.21428000,1.21682000,1.21216000,1.21502000,140811,1.00062590
2020,12,14,1.21400000,1.21767000,1.21151000,1.21426000,140029,1.00241055
2020,12,11,1.21332000,1.21638000,1.21049000,1.21134000,155055,0.99831052
2020,12,10,1.20793000,1.21583000,1.20727000,1.21339000,158311,1.00452013
2020,12,9,1.21016000,1.21491000,1.20584000,1.20793000,147527,0.99810778
2020,12,8,1.21085000,1.21333000,1.20950000,1.21022000,143581,0.99947970
2020,12,7,1.21350000,1.21657000,1.20779000,1.21085000,149567,0.99893577
2020,12,4,1.21395000,1.21795000,1.21093000,1.21214000,146832,0.99804860
2020,12,3,1.21145000,1.21764000,1.21004000,1.21451000,148651,1.00252590
2020,12,2,1.20681000,1.21195000,1.20394000,1.21145000,148434,1.00374504
2020,12,1,1.19249000,1.20790000,1.19232000,1.20693000,151156,1.01210912
2020,11,30,1.19603000,1.20037000,1.19221000,1.19249000,146979,0.99681518
2020,11,27,1.19114000,1.19645000,1.19053000,1.19630000,133947,1.00433198
2020,11,26,1.19148000,1.19417000,1.18848000,1.19114000,129394,1.00013434
2020,11,25,1.18865000,1.19317000,1.18813000,1.19098000,155174,1.00158945
2020,11,24,1.18399000,1.18948000,1.18330000,1.18909000,151459,1.00436685
2020,11,23,1.18526000,1.19054000,1.17998000,1.18392000,142167,0.99862511
2020,11,20,1.18736000,1.18902000,1.18492000,1.18555000,150544,0.99848402
2020,11,19,1.18521000,1.18812000,1.18157000,1.18735000,147640,1.00182249
2020,11,18,1.18598000,1.18903000,1.18480000,1.18519000,148098,0.99933388
2020,11,17,1.18497000,1.18932000,1.18424000,1.18598000,144165,1.00085234
2020,11,16,1.18381000,1.18688000,1.18136000,1.18497000,118404,1.00113211
2020,11,13,1.18039000,1.18363000,1.17975000,1.18363000,145234,1.00283831
2020,11,12,1.17746000,1.18225000,1.17579000,1.18028000,156773,1.00220773
2020,11,11,1.18134000,1.18323000,1.17451000,1.17768000,153885,0.99690182
2020,11,10,1.18121000,1.18427000,1.17793000,1.18134000,181125,1.00011852
2020,11,9,1.18873000,1.19193000,1.17947000,1.18120000,175489,0.99479526
2020,11,6,1.18259000,1.18907000,1.17943000,1.18738000,171350,1.00400798
2020,11,5,1.17237000,1.18592000,1.17101000,1.18264000,174960,1.00900102
2020,11,4,1.17121000,1.17696000,1.16029000,1.17209000,194088,1.00080263
2020,11,3,1.16401000,1.17392000,1.16311000,1.17115000,146216,1.00614261
2020,11,2,1.16453000,1.16552000,1.16220000,1.16400000,158916,0.99942473
2020,10,30,1.16739000,1.17037000,1.16395000,1.16467000,163071,0.99768711
2020,10,29,1.17444000,1.17582000,1.16495000,1.16737000,155486,0.99397165
2020,10,28,1.17864000,1.17875000,1.17145000,1.17445000,158944,0.99645351
2020,10,27,1.18078000,1.18383000,1.17821000,1.17863000,147319,0.99825526
2020,10,26,1.18551000,1.18594000,1.18025000,1.18069000,150411,0.99548080
2020,10,23,1.18164000,1.18639000,1.17861000,1.18605000,149821,1.00367264
2020,10,22,1.18605000,1.18663000,1.18109000,1.18171000,153216,0.99673577
2020,10,21,1.18176000,1.18826000,1.18176000,1.18558000,144413,1.00296088
2020,10,20,1.17676000,1.18413000,1.17594000,1.18208000,133522,1.00453796
2020,10,19,1.17184000,1.17931000,1.17026000,1.17674000,143923,1.00401867
2020,10,16,1.17064000,1.17456000,1.16934000,1.17203000,149884,1.00119594
2020,10,15,1.17441000,1.17572000,1.16880000,1.17063000,150954,0.99676439
2020,10,14,1.17431000,1.17701000,1.17191000,1.17443000,110553,0.99994040
2020,10,13,1.18101000,1.18147000,1.17297000,1.17450000,127974,0.99442041
2020,10,12,1.18132000,1.18257000,1.17861000,1.18109000,137665,0.99852051
2020,10,9,1.17576000,1.18340000,1.17513000,1.18284000,138035,1.00590186
2020,10,8,1.17600000,1.17811000,1.17323000,1.17590000,131286,0.99991497
2020,10,7,1.17323000,1.17813000,1.17243000,1.17600000,153494,1.00232683
2020,10,6,1.17810000,1.18092000,1.17307000,1.17327000,156514,0.99574804
