Year,Month,Day,Open,High,Low,Close,Volumn,Return
2021,5,7,1.38850,1.40052,1.38828,1.39872,145824,1.00719362
2021,5,6,1.38958,1.39401,1.38571,1.38873,148085,0.99903602
2021,5,5,1.38841,1.39258,1.38756,1.39007,134980,1.00118119
2021,5,4,1.39077,1.39099,1.38376,1.38843,154057,0.99830312
2021,5,3,1.38023,1.39313,1.38000,1.39079,135584,1.00673915
2021,4,30,1.39387,1.39578,1.38018,1.38148,139934,0.99118219
2021,4,29,1.39285,1.39760,1.39262,1.39377,144447,1.00032297
2021,4,28,1.39079,1.39502,1.38607,1.39332,142185,1.00199922
2021,4,27,1.38963,1.39235,1.38577,1.39054,132268,1.00076288
2021,4,26,1.38694,1.39286,1.38574,1.38948,140368,1.00088601
2021,4,23,1.38360,1.38950,1.38295,1.38825,138519,1.00335355
2021,4,22,1.39271,1.39491,1.38232,1.38361,147629,0.99344458
2021,4,21,1.39348,1.39490,1.38850,1.39274,141270,0.99928968
2021,4,20,1.39852,1.40084,1.39254,1.39373,150332,0.99660346
2021,4,19,1.38244,1.39922,1.38088,1.39848,153003,1.01025804
2021,4,16,1.37831,1.38465,1.37157,1.38428,145275,1.00457191
2021,4,15,1.37741,1.38083,1.37611,1.37798,147503,1.00041382
2021,4,14,1.37498,1.38081,1.37430,1.37741,139905,1.00176730
2021,4,13,1.37306,1.37684,1.36945,1.37498,140744,1.00085165
2021,4,12,1.37015,1.37763,1.36682,1.37381,149769,1.00240786
2021,4,9,1.37313,1.37502,1.36698,1.37051,145684,0.99802654
2021,4,8,1.37364,1.37820,1.37185,1.37322,142307,0.99962147
2021,4,7,1.38206,1.38395,1.37236,1.37374,156172,0.99391528
2021,4,6,1.39001,1.39182,1.38019,1.38215,144841,0.99434536
2021,4,5,1.38248,1.39129,1.38086,1.39001,121934,1.00526495
2021,4,2,1.38306,1.38519,1.38097,1.38273,109672,0.99975417
2021,4,1,1.37767,1.38361,1.37457,1.38307,157985,1.00372295
2021,3,31,1.37385,1.38111,1.37156,1.37794,150631,1.00295513
2021,3,30,1.37600,1.37830,1.37055,1.37388,146133,0.99847382
2021,3,29,1.37797,1.38464,1.37554,1.37598,146415,0.99781001
2021,3,26,1.37354,1.38119,1.37297,1.37900,140465,1.00399706
2021,3,25,1.36853,1.37449,1.36671,1.37351,152454,1.00365361
2021,3,24,1.37488,1.37568,1.36735,1.36851,151061,0.99551168
2021,3,23,1.38578,1.38635,1.37396,1.37468,91455,0.99196860
