Year,Month,Day,Open,High,Low,Close,Volumn,Return
2021,5,19,1.20624000,1.21421000,1.20534000,1.21309000,148769,1.00567880
2021,5,18,1.20659000,1.20812000,1.20126000,1.20624000,129463,0.99994197
2021,5,17,1.21020000,1.21358000,1.20600000,1.20631000,138377,0.99657155
2021,5,14,1.21599000,1.21781000,1.20801000,1.21046000,140798,0.99533767
2021,5,13,1.21325000,1.22018000,1.21030000,1.21613000,159445,1.00238205
2021,5,12,1.21005000,1.21369000,1.20457000,1.21324000,148789,1.00262797
2021,5,11,1.20956000,1.21256000,1.20785000,1.21006000,140848,0.99979344
2021,5,10,1.21191000,1.21353000,1.20780000,1.21031000,132826,0.99811973
2021,5,7,1.21457000,1.21929000,1.21102000,1.21259000,127903,0.99823007
2021,5,6,1.22646000,1.22874000,1.21419000,1.21474000,133675,0.99038752
2021,5,5,1.23052000,1.23127000,1.22513000,1.22653000,121611,0.99672507
2021,5,4,1.22729000,1.23509000,1.22722000,1.23056000,133137,1.00251737
2021,5,3,1.22880000,1.23184000,1.22662000,1.22747000,117087,0.99857633
2021,4,30,1.22784000,1.23220000,1.22658000,1.22922000,128003,1.00105055
2021,4,29,1.23122000,1.23214000,1.22740000,1.22793000,129019,0.99730355
2021,4,28,1.23992000,1.24173000,1.23090000,1.23125000,126863,0.99296757
2021,4,27,1.23938000,1.24184000,1.23864000,1.23997000,120296,1.00060522
2021,4,26,1.24767000,1.24908000,1.23834000,1.23922000,130927,0.99335476
2021,4,23,1.25055000,1.25089000,1.24602000,1.24751000,127553,0.99762491
2021,4,22,1.24970000,1.25344000,1.24723000,1.25048000,138145,1.00068020
2021,4,21,1.26075000,1.26527000,1.24594000,1.24963000,133777,0.99116413
2021,4,20,1.25321000,1.26225000,1.24779000,1.26077000,143928,1.00600040
2021,4,19,1.25047000,1.25432000,1.24704000,1.25325000,133964,1.00203886
2021,4,16,1.25413000,1.25586000,1.24938000,1.25070000,127883,0.99729684
2021,4,15,1.25179000,1.25579000,1.24760000,1.25409000,133674,1.00175734
2021,4,14,1.25322000,1.25759000,1.24995000,1.25189000,125089,0.99885903
2021,4,13,1.25615000,1.26280000,1.25256000,1.25332000,129297,0.99785830
2021,4,12,1.25444000,1.25732000,1.25232000,1.25601000,130134,1.00244224
2021,4,9,1.25587000,1.26105000,1.25251000,1.25295000,134402,0.99761137
2021,4,8,1.26073000,1.26264000,1.25566000,1.25595000,126951,0.99619274
2021,4,7,1.25650000,1.26342000,1.25611000,1.26075000,137101,1.00338241
2021,4,6,1.25205000,1.25821000,1.25158000,1.25650000,122510,1.00347402
2021,4,5,1.25730000,1.25936000,1.25013000,1.25215000,94609,0.99610991
2021,4,2,1.25436000,1.25807000,1.25273000,1.25704000,76879,1.00213655
2021,4,1,1.25605000,1.26015000,1.25407000,1.25436000,140297,0.99867041
2021,3,31,1.26280000,1.26323000,1.25386000,1.25603000,136200,0.99453651
2021,3,30,1.25882000,1.26468000,1.25797000,1.26293000,137633,1.00321715
2021,3,29,1.25703000,1.26263000,1.25647000,1.25888000,136125,1.00123277
2021,3,26,1.26049000,1.26083000,1.25604000,1.25733000,135381,0.99747721
2021,3,25,1.25727000,1.26284000,1.25463000,1.26051000,151311,1.00242552
2021,3,24,1.25806000,1.26084000,1.25421000,1.25746000,148453,0.99951513
2021,3,23,1.25212000,1.25935000,1.25163000,1.25807000,89201,1.00474392
2021,3,22,1.25181000,1.25407000,1.24725000,1.25213000,133921,1.00172003
2021,3,19,1.24916000,1.25471000,1.24610000,1.24998000,145202,1.00068047
2021,3,18,1.24046000,1.25258000,1.23642000,1.24913000,156782,1.00698934
2021,3,17,1.24407000,1.24928000,1.23996000,1.24046000,136223,0.99710625
2021,3,16,1.24778000,1.25000000,1.24350000,1.24406000,138853,0.99694680
2021,3,15,1.24758000,1.25125000,1.24400000,1.24787000,144395,1.00014427
2021,3,12,1.25273000,1.25730000,1.24613000,1.24769000,151583,0.99577807
2021,3,11,1.26164000,1.26244000,1.25191000,1.25298000,144099,0.99320677
2021,3,10,1.26374000,1.26829000,1.26080000,1.26155000,161634,0.99844877
2021,3,9,1.26604000,1.26847000,1.25896000,1.26351000,164519,0.99782037
2021,3,8,1.26505000,1.26997000,1.26211000,1.26627000,177371,1.00065590
2021,3,5,1.26636000,1.27367000,1.26453000,1.26544000,169972,0.99916305
2021,3,4,1.26529000,1.26932000,1.25748000,1.26650000,167595,1.00104333
2021,3,3,1.26350000,1.26578000,1.25924000,1.26518000,153618,1.00135342
2021,3,2,1.26446000,1.26977000,1.25991000,1.26347000,162120,0.99918545
2021,3,1,1.27262000,1.27363000,1.26393000,1.26450000,160716,0.99267563
2021,2,26,1.26016000,1.27487000,1.25861000,1.27383000,181270,1.01081574
2021,2,25,1.25108000,1.26133000,1.24673000,1.26020000,170507,1.00724140
2021,2,24,1.25852000,1.25980000,1.25038000,1.25114000,161151,0.99442833
2021,2,23,1.26106000,1.26467000,1.25780000,1.25815000,151309,0.99726538
2021,2,22,1.26092000,1.26534000,1.25798000,1.26160000,150441,0.99997622
2021,2,19,1.26748000,1.27131000,1.25934000,1.26163000,148850,0.99532172
2021,2,18,1.27023000,1.27303000,1.26648000,1.26756000,144547,0.99793730
2021,2,17,1.26863000,1.27458000,1.26830000,1.27018000,146630,1.00114288
2021,2,16,1.26371000,1.27021000,1.26088000,1.26873000,138632,1.00404394
2021,2,15,1.26817000,1.26913000,1.26302000,1.26362000,113535,0.99533689
2021,2,12,1.27028000,1.27626000,1.26763000,1.26954000,124377,0.99982674
2021,2,11,1.26998000,1.27103000,1.26597000,1.26976000,126009,0.99978741
2021,2,10,1.26911000,1.27100000,1.26665000,1.27003000,140524,1.00070126
2021,2,9,1.27354000,1.27652000,1.26894000,1.26914000,145776,0.99639641
2021,2,8,1.27554000,1.27824000,1.27335000,1.27373000,136387,0.99856534
2021,2,5,1.28246000,1.28320000,1.27550000,1.27556000,143549,0.99471279
2021,2,4,1.27849000,1.28450000,1.27756000,1.28234000,152853,1.00301921
2021,2,3,1.27789000,1.28110000,1.27624000,1.27848000,150613,1.00039124
2021,2,2,1.28518000,1.28694000,1.27790000,1.27798000,157481,0.99439767
2021,2,1,1.27860000,1.28633000,1.27606000,1.28518000,169216,1.00583852
2021,1,29,1.28288000,1.28737000,1.27372000,1.27772000,181180,0.99598556
2021,1,28,1.27975000,1.28808000,1.27862000,1.28287000,180364,1.00207778
2021,1,27,1.26922000,1.28221000,1.26844000,1.28021000,162684,1.00861118
2021,1,26,1.27371000,1.27820000,1.26893000,1.26928000,140761,0.99663152
2021,1,25,1.27109000,1.27788000,1.26865000,1.27357000,148276,1.00031418
2021,1,22,1.26357000,1.27401000,1.26301000,1.27317000,148582,1.00751779
2021,1,21,1.26348000,1.26473000,1.25901000,1.26367000,143588,0.99998417
2021,1,20,1.27346000,1.27403000,1.26059000,1.26369000,145718,0.99239812
2021,1,19,1.27508000,1.27637000,1.27146000,1.27337000,141325,0.99840834
2021,1,18,1.27309000,1.27989000,1.27245000,1.27540000,143984,1.00186170
2021,1,15,1.26363000,1.27640000,1.26334000,1.27303000,159373,1.00723961
2021,1,14,1.26957000,1.27068000,1.26240000,1.26388000,151059,0.99566718
2021,1,13,1.27073000,1.27461000,1.26792000,1.26938000,149042,0.99900051
2021,1,12,1.27829000,1.27907000,1.27065000,1.27065000,158331,0.99406215
2021,1,11,1.27028000,1.28348000,1.26872000,1.27824000,158173,1.00716227
2021,1,8,1.26893000,1.27424000,1.26582000,1.26915000,164679,1.00018126
2021,1,7,1.26721000,1.27334000,1.26622000,1.26892000,165060,1.00127041
2021,1,6,1.26648000,1.27232000,1.26290000,1.26731000,183148,1.00043418
2021,1,5,1.27717000,1.27902000,1.26551000,1.26676000,165189,0.99187247
2021,1,4,1.27144000,1.27973000,1.26643000,1.27714000,171649,1.00039949
2020,12,31,1.27540000,1.27695000,1.27131000,1.27663000,106590,1.00118420
2020,12,30,1.28173000,1.28264000,1.27484000,1.27512000,127455,0.99485843
2020,12,29,1.28479000,1.28546000,1.27789000,1.28171000,123680,0.99778911
2020,12,28,1.28509000,1.28751000,1.28130000,1.28455000,127759,1.00252084
