Year,Month,Day,Open,High,Low,Close,Volumn,Return
2021,5,19,0.89753000,0.90468000,0.89632000,0.90347000,132014,1.00650602
2021,5,18,0.90307000,0.90344000,0.89595000,0.89763000,119609,0.99392107
2021,5,17,0.90099000,0.90312000,0.90016000,0.90312000,111752,1.00193037
2021,5,14,0.90568000,0.90632000,0.90111000,0.90138000,116682,0.99526318
2021,5,13,0.90889000,0.90927000,0.90503000,0.90567000,145281,0.99645722
2021,5,12,0.90325000,0.90935000,0.90219000,0.90889000,128603,1.00601023
2021,5,11,0.90103000,0.90389000,0.90006000,0.90346000,123796,1.00273030
2021,5,10,0.90175000,0.90187000,0.89849000,0.90100000,127617,1.00039972
2021,5,7,0.90694000,0.90931000,0.90012000,0.90064000,117658,0.99272519
2021,5,6,0.91214000,0.91444000,0.90690000,0.90724000,119561,0.99398508
2021,5,5,0.91313000,0.91641000,0.91208000,0.91273000,110863,0.99938683
2021,5,4,0.91103000,0.91603000,0.90956000,0.91329000,124639,1.00246970
2021,5,3,0.91188000,0.91473000,0.90928000,0.91104000,110737,0.99756915
2021,4,30,0.90829000,0.91398000,0.90788000,0.91326000,114255,1.00497392
2021,4,29,0.90940000,0.91189000,0.90783000,0.90874000,116960,0.99885687
2021,4,28,0.91333000,0.91813000,0.90866000,0.90978000,121958,0.99609131
2021,4,27,0.91329000,0.91713000,0.91224000,0.91335000,113711,0.99913580
2021,4,26,0.91342000,0.91655000,0.91208000,0.91414000,110934,1.00062393
2021,4,23,0.91648000,0.91780000,0.91272000,0.91357000,110425,0.99661819
2021,4,22,0.91682000,0.91905000,0.91426000,0.91667000,116914,0.99980368
2021,4,21,0.91594000,0.91948000,0.91450000,0.91685000,111896,1.00116840
2021,4,20,0.91358000,0.91691000,0.91340000,0.91578000,114770,1.00149823
2021,4,19,0.91887000,0.92146000,0.91279000,0.91441000,115869,0.99361071
2021,4,16,0.92244000,0.92344000,0.91783000,0.92029000,115964,0.99766923
2021,4,15,0.92256000,0.92450000,0.92058000,0.92244000,121654,0.99982658
2021,4,14,0.92041000,0.92335000,0.91860000,0.92260000,110864,1.00232492
2021,4,13,0.92240000,0.92591000,0.91959000,0.92046000,116224,0.99788597
2021,4,12,0.92420000,0.92675000,0.92122000,0.92241000,112900,0.99805239
2021,4,9,0.92330000,0.92812000,0.92302000,0.92421000,112741,0.99993508
2021,4,8,0.92992000,0.93017000,0.92316000,0.92427000,107695,0.99388146
2021,4,7,0.93075000,0.93216000,0.92671000,0.92996000,117129,0.99919416
2021,4,6,0.93618000,0.93955000,0.93009000,0.93071000,115421,0.99416773
2021,4,5,0.94197000,0.94382000,0.93531000,0.93617000,96199,0.99364227
2021,4,2,0.94152000,0.94356000,0.94040000,0.94216000,77007,1.00067975
2021,4,1,0.94334000,0.94721000,0.94036000,0.94152000,123451,0.99811301
2021,3,31,0.94184000,0.94580000,0.94029000,0.94330000,120468,1.00155016
2021,3,30,0.93912000,0.94381000,0.93750000,0.94184000,111376,1.00286429
2021,3,29,0.93968000,0.94040000,0.93692000,0.93915000,112631,1.00008519
2021,3,26,0.93948000,0.94173000,0.93814000,0.93907000,108198,0.99929767
2021,3,25,0.93534000,0.94010000,0.93487000,0.93973000,122470,1.00485463
2021,3,24,0.93371000,0.93691000,0.93351000,0.93519000,118542,1.00163871
2021,3,23,0.92260000,0.93462000,0.92230000,0.93366000,70085,1.01190012
2021,3,22,0.92988000,0.93089000,0.92216000,0.92268000,113079,0.99343224
2021,3,19,0.92718000,0.93192000,0.92503000,0.92878000,115311,1.00153123
2021,3,18,0.92234000,0.93048000,0.92178000,0.92736000,138248,1.00549719
2021,3,17,0.92464000,0.92955000,0.92126000,0.92229000,116478,0.99741532
2021,3,16,0.92727000,0.92866000,0.92398000,0.92468000,120422,0.99718535
2021,3,15,0.92815000,0.93119000,0.92626000,0.92729000,126359,0.99716108
2021,3,12,0.92389000,0.93245000,0.92312000,0.92993000,126528,1.00606933
2021,3,11,0.92945000,0.93084000,0.92336000,0.92432000,123752,0.99480170
2021,3,10,0.92752000,0.93223000,0.92708000,0.92915000,129506,1.00171417
2021,3,9,0.93557000,0.93750000,0.92742000,0.92756000,137554,0.99143837
2021,3,8,0.92846000,0.93681000,0.92746000,0.93557000,130393,1.00536225
2021,3,5,0.92851000,0.93186000,0.92572000,0.93058000,143136,1.00233733
2021,3,4,0.91967000,0.92973000,0.91844000,0.92841000,134081,1.00949243
2021,3,3,0.91492000,0.91984000,0.91377000,0.91968000,120841,1.00538945
2021,3,2,0.91499000,0.91931000,0.91356000,0.91475000,127446,0.99992348
2021,3,1,0.90711000,0.91586000,0.90688000,0.91482000,135654,1.00702303
2021,2,26,0.90465000,0.91012000,0.90258000,0.90844000,156656,1.00420057
2021,2,25,0.90634000,0.90808000,0.90275000,0.90464000,138864,0.99813534
2021,2,24,0.90502000,0.90941000,0.90302000,0.90633000,135158,1.00146961
2021,2,23,0.89580000,0.90552000,0.89478000,0.90500000,119375,1.00993193
2021,2,22,0.89622000,0.90233000,0.89476000,0.89610000,120464,0.99983264
2021,2,19,0.89572000,0.89718000,0.89329000,0.89625000,112213,1.00109464
2021,2,18,0.89855000,0.89949000,0.89527000,0.89527000,115549,0.99632750
2021,2,17,0.89215000,0.89915000,0.89139000,0.89857000,124044,1.00689137
2021,2,16,0.89015000,0.89295000,0.88704000,0.89242000,118387,1.00304594
2021,2,15,0.89115000,0.89242000,0.88935000,0.88971000,105529,0.99789141
2021,2,12,0.88997000,0.89392000,0.88927000,0.89159000,98922,1.00201169
2021,2,11,0.88980000,0.89097000,0.88913000,0.88980000,94589,0.99968542
2021,2,10,0.89217000,0.89307000,0.88894000,0.89008000,113866,0.99779160
2021,2,9,0.89867000,0.89899000,0.89177000,0.89205000,120246,0.99263356
2021,2,8,0.89809000,0.90192000,0.89750000,0.89867000,112353,0.99958845
2021,2,5,0.90354000,0.90452000,0.89871000,0.89904000,132620,0.99501959
2021,2,4,0.89883000,0.90432000,0.89819000,0.90354000,134664,1.00527370
2021,2,3,0.89708000,0.90020000,0.89692000,0.89880000,117497,1.00179449
2021,2,2,0.89673000,0.89945000,0.89461000,0.89719000,129112,1.00052413
2021,2,1,0.88971000,0.89712000,0.88924000,0.89672000,134375,1.00673612
2021,1,29,0.88817000,0.89114000,0.88718000,0.89072000,136417,1.00240834
2021,1,28,0.88865000,0.89181000,0.88690000,0.88858000,138895,1.00057428
2021,1,27,0.88611000,0.89167000,0.88576000,0.88807000,127466,1.00149988
2021,1,26,0.88802000,0.88953000,0.88590000,0.88674000,114244,0.99861482
2021,1,25,0.88503000,0.88922000,0.88432000,0.88797000,120847,1.00265351
2021,1,22,0.88470000,0.88656000,0.88376000,0.88562000,122243,1.00109648
2021,1,21,0.88939000,0.89002000,0.88465000,0.88465000,120298,0.99465932
2021,1,20,0.88833000,0.89198000,0.88663000,0.88940000,122527,1.00121578
2021,1,19,0.89043000,0.89161000,0.88636000,0.88832000,118234,0.99748473
2021,1,18,0.88914000,0.89247000,0.88898000,0.89056000,121058,0.99940522
2021,1,15,0.88822000,0.89145000,0.88684000,0.89109000,127276,1.00334414
2021,1,14,0.88754000,0.89166000,0.88548000,0.88812000,138996,1.00087903
2021,1,13,0.88631000,0.88888000,0.88484000,0.88734000,122954,1.00127509
2021,1,12,0.89018000,0.89156000,0.88578000,0.88621000,129463,0.99565208
2021,1,11,0.88513000,0.89198000,0.88419000,0.89008000,138547,1.00556968
2021,1,8,0.88455000,0.88840000,0.88216000,0.88515000,143709,1.00013559
2021,1,7,0.87829000,0.88602000,0.87736000,0.88503000,138583,1.00776580
2021,1,6,0.87823000,0.88209000,0.87566000,0.87821000,151917,1.00058106
2021,1,5,0.88152000,0.88158000,0.87748000,0.87770000,132055,0.99611858
2021,1,4,0.88245000,0.88452000,0.87841000,0.88112000,134067,0.99553708
2020,12,31,0.88116000,0.88519000,0.87939000,0.88507000,97024,1.00435755
2020,12,30,0.88374000,0.88538000,0.88087000,0.88123000,119335,0.99699058
2020,12,29,0.88857000,0.88949000,0.88298000,0.88389000,108666,0.99444213
2020,12,28,0.88821000,0.89182000,0.88752000,0.88883000,120123,0.99692677
2020,12,24,0.88791000,0.89170000,0.88677000,0.89157000,88537,1.00414466
2020,12,23,0.88933000,0.89107000,0.88670000,0.88789000,132075,0.99842571
2020,12,22,0.88556000,0.89040000,0.88442000,0.88929000,127568,1.00422336
2020,12,21,0.88354000,0.89185000,0.88291000,0.88555000,144631,1.00301283
2020,12,18,0.88429000,0.88676000,0.88245000,0.88289000,113708,0.99848456
2020,12,17,0.88520000,0.88573000,0.88215000,0.88423000,118364,0.99899449
2020,12,16,0.88541000,0.88911000,0.88251000,0.88512000,96284,0.99940157
2020,12,15,0.88610000,0.88801000,0.88490000,0.88565000,115375,0.99881583
2020,12,14,0.88799000,0.88950000,0.88493000,0.88670000,110634,0.99613544
2020,12,11,0.88581000,0.89085000,0.88504000,0.89014000,117358,1.00504703
2020,12,10,0.88919000,0.89011000,0.88514000,0.88567000,121362,0.99618698
2020,12,9,0.88883000,0.89140000,0.88704000,0.88906000,114911,1.00027002
2020,12,8,0.88995000,0.89136000,0.88806000,0.88882000,111920,0.99860684
