Year,Month,Day,Open,High,Low,Close,Volumn,Return
2021,5,7,1814.39,1843.17,1812.68,1830.40,155593,1.00876274
2021,5,6,1786.49,1818.62,1781.89,1814.50,170143,1.01572996
2021,5,5,1778.02,1787.86,1770.29,1786.40,150472,1.00449843
2021,5,4,1792.54,1798.88,1770.79,1778.40,157603,0.99224460
2021,5,3,1768.00,1797.81,1765.73,1792.30,165810,1.01345773
2021,4,30,1771.85,1773.55,1764.16,1768.50,153118,0.99817129
2021,4,29,1781.68,1789.82,1756.07,1771.74,151123,0.99474482
2021,4,28,1775.67,1782.45,1762.43,1781.10,153480,1.00269096
2021,4,27,1780.81,1786.00,1773.63,1776.32,150563,0.99731627
2021,4,26,1775.80,1783.37,1768.80,1781.10,149165,1.00275870
2021,4,23,1783.31,1795.78,1769.83,1776.20,149039,0.99593485
2021,4,22,1793.54,1797.67,1777.25,1783.45,153318,0.99449070
2021,4,21,1778.40,1798.79,1776.03,1793.33,149564,1.00835550
2021,4,20,1770.42,1780.23,1763.45,1778.47,152518,1.00435973
2021,4,19,1776.11,1790.03,1766.62,1770.75,144711,0.99745953
2021,4,16,1763.09,1784.69,1759.56,1775.26,148442,1.00677132
2021,4,15,1735.42,1769.47,1734.19,1763.32,161165,1.01570222
2021,4,14,1745.29,1749.15,1732.43,1736.06,147229,0.99491100
2021,4,13,1731.95,1748.81,1723.46,1744.94,152421,1.00722688
2021,4,12,1743.08,1744.80,1727.26,1732.42,155017,0.99377036
2021,4,9,1755.13,1757.20,1731.10,1743.28,157830,0.99326534
2021,4,8,1736.83,1758.51,1732.96,1755.10,161586,1.01046680
2021,4,7,1742.62,1744.15,1730.51,1736.92,162427,0.99678626
2021,4,6,1727.63,1745.24,1726.89,1742.52,165750,1.00868297
2021,4,5,1727.80,1733.52,1720.87,1727.52,141947,0.99888404
2021,4,1,1707.26,1730.31,1705.56,1729.45,170968,1.01305677
2021,3,31,1684.21,1715.05,1677.71,1707.16,169276,1.01337987
2021,3,30,1711.81,1714.19,1675.80,1684.62,179123,0.98427147
2021,3,29,1729.14,1732.69,1704.44,1711.54,163569,0.98840392
2021,3,26,1726.24,1736.54,1721.43,1731.62,168605,1.00280290
2021,3,25,1733.19,1745.28,1721.61,1726.78,166681,0.99589365
2021,3,24,1726.36,1738.20,1723.93,1733.90,172895,1.00423960
2021,3,23,1738.36,1742.51,1724.49,1726.58,195715,0.99309782
2021,3,22,1744.89,1746.61,1727.23,1738.58,172205,0.99667504
2021,3,19,1735.94,1746.32,1728.24,1744.38,170697,1.00494297
2021,3,18,1744.75,1755.30,1719.07,1735.80,170664,0.99485322
2021,3,17,1731.35,1751.37,1723.95,1744.78,166441,1.00787920
2021,3,16,1731.18,1740.90,1726.09,1731.14,164552,1.00006932
2021,3,15,1728.39,1735.02,1721.42,1731.02,171299,1.00250188
